displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
Amazon,2/27/06,"Shopbop is an online boutique for clothing, footwear, bags and accessories.",Shopbop,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,6/16/09,"SnapTell provides an integrated mobile marketing solution for brands to deploy campaigns, and consumers to access content on the go.",SnapTell,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,5/12/17,Souq.com is an online shopping destination in the middle east.,Souq.com,583000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/28/09,Stanza is a live channel between businesses and their customers. ,Stanza,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/28/18,"Tapzo is an all in one app with multi services such as cabs, recharge, food, deals, bill payments & news. ",Tapzo,40000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,1/31/12,TeachStreet is an online marketplace providing information about local and online classes and teachers.,TeachStreet,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/27/98,,Telebook,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/1/13,"TenMarks creates a web-based learning environment that simplifies assignments, automates grading, and offers videos and interactive lessons.",TenMarks Education,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/1/06,TextPayMe is an SMS payment service that allows users to send money to others using text messages.,TextPayMe,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,7/4/11,The world's leading specialist online bookstore.,The Book Depository,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
