,displayName,tags,major_tags
1102,Hedstrom,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'distribution', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1103,Quintana Supply,"['consumer goods', 'safety', 'Business Products & Services', 'packaging']",['Business Products & Services']
1104,Osgood Textile,"['consumer goods', 'textiles', 'distribution', 'Retail']",['Retail']
1105,Updater,"['enterprise software', 'Real Estate & Construction', 'moving services', 'Technology', 'logistics']","['Real Estate & Construction', 'Technology']"
1106,Meller Optics,"['consumer goods', 'Manufacturing & Industrial', 'Business Products & Services', 'optics']","['Manufacturing & Industrial', 'Business Products & Services']"
1107,Medallic Art,"['gold', 'consumer goods', 'metal products', 'Manufacturing & Industrial', 'accessories', 'jewellery']",['Manufacturing & Industrial']
1108,Whitehead Industrial Hardware,"['consumer goods', 'Manufacturing & Industrial', 'building materials', 'distribution']",['Manufacturing & Industrial']
1109,Ram Products,"['consumer goods', 'Manufacturing & Industrial', 'manufacturing equipment', 'distribution', 'delivery']",['Manufacturing & Industrial']
1110,The Crowd Controller,"['consumer goods', 'distribution', 'security', 'Retail']",['Retail']
1111,RapidSupplies.com,"['consumer goods', 'Retail']",['Retail']
1112,Cowlitz River Rigging,"['consumer goods', 'manufacturing equipment', 'clothing', 'Retail']",['Retail']
1113,Eldorado Climbing Walls,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'Travel & Leisure', 'construction & design']","['Manufacturing & Industrial', 'Travel & Leisure']"
1114,Sayre Enterprises,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'clothing']",['Manufacturing & Industrial']
1115,Electronic Displays,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'displays']",['Manufacturing & Industrial']
1116,RapidSupplies.com,"['consumer goods', 'Retail']",['Retail']
1117,Cowlitz River Rigging,"['consumer goods', 'manufacturing equipment', 'clothing', 'Retail']",['Retail']
1118,Martek Industries,"['consumer goods', 'Manufacturing & Industrial', 'electricity', 'distribution', 'lighting']",['Manufacturing & Industrial']
1119,Aeromicro,"['consumer goods', 'toys', 'Retail']",['Retail']
1120,Optical Gallery,"['consumer goods', 'health & beauty', 'distribution', 'Retail']",['Retail']
1121,Lampline Lighting,"['consumer goods', 'distribution', 'lighting', 'Retail']",['Retail']
1122,Tecra Tools,"['consumer goods', 'electronics', 'distribution', 'ecommerce', 'Retail']",['Retail']
1123,Abatement Technologies,"['consumer goods', 'Manufacturing & Industrial', 'consumer chemistry', 'chemicals']",['Manufacturing & Industrial']
1124,Schwaab,"['consumer goods', 'Manufacturing & Industrial', 'accessories']",['Manufacturing & Industrial']
1125,Master Magnetics,"['consumer goods', 'metal products', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1126,Precision Fabrics Group,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'clothing']",['Manufacturing & Industrial']
1127,Edges Electrical Group,"['consumer goods', 'batteries', 'cables', 'distribution', 'mechanical components', 'lighting', 'Retail', 'electronic components']",['Retail']
1128,Web Direct Brands,"['consumer goods', 'consumer products & services', 'sport', 'accessories', 'ecommerce', 'clothing', 'fitness & wellness', 'Retail', 'furniture']",['Retail']
1129,CDS Moving Equipment,"['consumer goods', 'packaging', 'Retail']",['Retail']
1130,CP Company,"['consumer goods', 'sport', 'clothing', 'defense', 'Retail']",['Retail']
1131,Alca Fasteners,"['metal products', 'distribution', 'Retail']",['Retail']
1132,Wellav Technologies,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'audio', 'video']",['Manufacturing & Industrial']
1133,Midland Hardware,"['consumer goods', 'home improvement', 'accessories', 'Retail']",['Retail']
