,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
85,[],public,A.O. Smith,1874,{'url': 'https://uploads1.craft.co/uploads/company/logo/2100xx/210092/normal_2921c61afe24b9f9.png'},,AOS,6289391000.0,0 USD,6289391000 USD
86,[],public,Hasbro,1923,{'url': 'https://uploads2.craft.co/uploads/company/logo/1185xx/118587/normal_5d9fdb6ae749a9fd.jpg'},{'displayName': 'Atari'},HAS,14911910160.0,0 USD,14911910160 USD
87,[],private,Wish,2011,{'url': 'https://uploads2.craft.co/uploads/company/logo/1950xx/195024/normal_892ef416eb1dd876.png'},,,,1801666182 USD,11200000000 USD
88,[],private,Ikea,1943,{'url': 'https://uploads1.craft.co/uploads/company/logo/271xx/27188/normal_IKEATwitterProfileLogo.png'},,,,0 USD,
89,[],public,Ingles Markets,1963,{'url': 'https://uploads5.craft.co/uploads/company/logo/124xx/12486/normal_10561833_10152332925907955_8647568268567806261_n.jpg'},,IMKTA,555171320.0,0 USD,555171320 USD
90,[],public,Smart & Final,1871,{'url': 'https://uploads5.craft.co/uploads/company/logo/2474xx/247431/normal_gDUPf9CV.png'},,SFS,497185000.0,0 USD,497185000 USD
91,[],subsidiary,CST Brands,2013,{'url': 'https://uploads1.craft.co/uploads/company/logo/1997xx/199765/normal_e4938cc95cc8da31.jpeg'},{'displayName': 'Alimentation Couche-Tard'},CST,3680000000.0,0 USD,
92,[],private,John Lewis,1864,{'url': 'https://uploads5.craft.co/uploads/company/logo/2266xx/226658/normal_b9e3934c8e796e16.png'},,,,0 USD,
93,[],public,Multi-Color Corporation,1916,{'url': 'https://uploads2.craft.co/uploads/company/logo/2055xx/205580/normal_6703ad3c2f43d571.jpg'},,LABL,1026533710.0,0 USD,1026533710 USD
94,[],public,Stein Mart,1902,{'url': 'https://uploads3.craft.co/uploads/company/logo/1147xx/114747/normal_dYQcV3Pr.png'},,SMRT,37252454.0,0 USD,37252454 USD
95,[],public,Primo Water,2004,{'url': 'https://uploads2.craft.co/uploads/company/logo/131xx/13130/normal_e9452aee19fe8976.png'},,PRMW,476890880.0,0 USD,476890880 USD
96,[],private,Publix,1930,{'url': 'https://uploads1.craft.co/uploads/company/logo/1169xx/116957/normal_305e249e0fe1854e.jpeg'},,,,0 USD,
97,[],public,CTI Industries,1975,{'url': 'https://uploads2.craft.co/uploads/company/logo/120xx/12018/normal_f445c6585c51f6b9.png'},,CTIB,7748720.0,0 USD,7748720 USD
98,[],public,Tootsie Roll Industries,1896,{'url': 'https://uploads4.craft.co/uploads/company/logo/112xx/11298/normal_d9945e3c0fa086b6.png'},,TR,2388095400.0,0 USD,2388095400 USD
